frame,time_ms,nose_x,nose_y,nose_conf,l_shoulder_x,l_shoulder_y,l_shoulder_conf,r_shoulder_x,r_shoulder_y,r_shoulder_conf,l_elbow_x,l_elbow_y,l_elbow_conf,r_elbow_x,r_elbow_y,r_elbow_conf,l_wrist_x,l_wrist_y,l_wrist_conf,r_wrist_x,r_wrist_y,r_wrist_conf,l_hip_x,l_hip_y,l_hip_conf,r_hip_x,r_hip_y,r_hip_conf,l_knee_x,l_knee_y,l_knee_conf,r_knee_x,r_knee_y,r_knee_conf,l_ankle_x,l_ankle_y,l_ankle_conf,r_ankle_x,r_ankle_y,r_ankle_conf,l_heel_x,l_heel_y,l_heel_conf,r_heel_x,r_heel_y,r_heel_conf,l_foot_index_x,l_foot_index_y,l_foot_index_conf,r_foot_index_x,r_foot_index_y,r_foot_index_conf,view_type,c7_x,c7_y,has_barbell,com_x,com_y,mid_foot_x
30,1000,523.21,186.19,1.0,721.45,406.94,1.0,391.91,444.89,1.0,787.94,668.1,0.994,371.18,709.01,0.975,823.18,883.26,0.994,371.95,929.53,0.968,676.88,924.47,1.0,491.14,936.22,1.0,707.48,1297.76,0.997,501.9,1300.09,0.997,761.12,1612.32,0.994,521.07,1625.22,0.995,743.0,1642.79,0.845,548.71,1651.31,0.901,818.84,1770.64,0.985,492.95,1778.88,0.989,frontal,556.6787466131949,425.91731866163184,False,581.1632352242183,843.3999541942574,650.8753677459865
31,1033,523.1,186.41,1.0,721.38,407.34,1.0,392.54,443.38,1.0,787.31,668.31,0.995,374.87,707.11,0.976,823.64,884.89,0.994,373.68,924.41,0.972,676.59,923.66,1.0,490.75,935.43,1.0,707.28,1297.81,0.998,501.98,1302.79,0.997,761.3,1611.61,0.994,521.25,1624.27,0.995,743.19,1642.12,0.843,548.77,1650.21,0.915,818.85,1770.14,0.982,493.33,1777.81,0.989,frontal,556.9628799418011,425.3618924802479,False,581.2311578189828,843.0266639051665,651.0369786473377
32,1066,523.76,186.87,1.0,722.1,407.55,1.0,392.51,443.6,1.0,787.4,669.67,0.995,378.58,710.12,0.975,827.15,894.75,0.993,376.28,927.1,0.973,676.03,922.86,1.0,490.93,934.07,1.0,706.63,1297.44,0.997,502.81,1302.48,0.996,761.4,1609.99,0.994,521.47,1623.94,0.995,743.47,1640.83,0.839,548.77,1649.92,0.895,818.85,1769.19,0.986,493.61,1777.52,0.991,frontal,557.3083343895627,425.5744361922121,False,581.4266042142995,842.7239618271389,651.1773418119319
33,1100,524.22,187.75,1.0,721.7,407.75,1.0,393.92,441.38,1.0,786.54,671.0,0.997,378.5,705.11,0.975,828.01,894.27,0.995,375.79,925.59,0.978,674.58,921.17,1.0,490.92,931.43,1.0,704.55,1297.03,0.998,502.93,1301.29,0.998,761.47,1608.64,0.995,521.77,1623.49,0.997,743.75,1640.23,0.866,548.84,1649.44,0.939,818.85,1768.72,0.988,494.01,1777.32,0.993,frontal,557.8092783123586,424.56175128375196,False,581.1460485232654,841.2664020875656,651.3636646666201
34,1133,525.11,189.4,1.0,721.97,407.57,1.0,395.65,441.1,1.0,783.78,671.59,0.992,380.54,700.83,0.973,825.42,894.96,0.993,378.22,914.77,0.97,674.37,917.31,1.0,490.94,926.75,1.0,704.64,1294.09,0.995,503.98,1295.67,0.994,761.52,1607.93,0.993,521.95,1623.4,0.992,744.02,1639.86,0.804,548.82,1649.56,0.837,818.87,1768.48,0.986,494.15,1777.32,0.987,frontal,558.8129739902018,424.33498195076567,False,581.5265237605543,838.7589679482485,651.4673087687293
35,1166,526.57,191.18,1.0,722.54,408.34,1.0,396.64,441.94,1.0,781.79,674.03,0.99,381.71,703.33,0.971,822.2,898.01,0.989,377.89,910.25,0.965,674.55,919.1,1.0,491.0,928.95,1.0,705.72,1296.03,0.996,503.65,1295.87,0.994,761.6,1607.32,0.993,522.09,1623.4,0.992,744.3,1639.39,0.807,548.8,1649.56,0.847,818.92,1768.28,0.985,494.37,1777.41,0.987,frontal,559.5920309351526,425.1406905136013,False,581.8747170772461,840.0935188583848,651.5990837423121
36,1200,527.27,192.98,1.0,722.59,408.57,1.0,397.98,441.45,1.0,780.95,673.12,0.993,381.1,699.78,0.97,826.33,897.67,0.992,377.94,907.61,0.971,674.52,918.57,1.0,490.9,928.39,1.0,705.0,1296.29,0.997,504.26,1297.46,0.995,761.71,1606.87,0.993,522.36,1623.49,0.994,744.68,1639.24,0.79,548.83,1649.74,0.883,818.92,1767.98,0.985,494.59,1777.47,0.989,frontal,560.2837794957861,425.00820014988153,False,582.0415446184392,839.8390338709837,651.7567761136776
37,1233,527.52,193.79,1.0,723.14,408.69,1.0,399.72,441.15,1.0,778.16,674.94,0.993,382.95,698.71,0.966,823.89,900.45,0.991,379.59,910.02,0.969,674.96,918.87,1.0,491.11,928.61,1.0,705.45,1296.96,0.998,504.1,1299.42,0.996,761.76,1606.71,0.994,522.61,1623.49,0.995,744.83,1639.24,0.807,548.91,1649.85,0.915,818.92,1767.98,0.984,494.82,1777.59,0.99,frontal,561.430111206841,424.9204152614584,False,582.5562600392939,840.1352835711899,651.8697693360749
38,1266,527.11,195.15,1.0,722.87,409.59,1.0,399.82,441.41,1.0,776.88,680.76,0.993,383.24,700.16,0.972,823.01,905.67,0.992,379.34,912.78,0.973,675.66,919.75,1.0,491.9,929.72,1.0,706.97,1298.35,0.997,503.79,1302.19,0.996,761.88,1606.71,0.993,522.88,1623.55,0.995,744.91,1639.24,0.817,549.04,1649.91,0.907,818.94,1767.98,0.983,494.88,1777.68,0.989,frontal,561.3412158282279,425.50326864684325,False,582.8799446172447,841.2777638970351,651.9406343821333
39,1300,526.9,196.69,1.0,723.37,410.82,1.0,399.82,443.55,1.0,777.28,684.73,0.986,383.67,701.97,0.963,821.73,907.05,0.981,377.45,912.31,0.968,676.31,922.29,1.0,492.39,932.15,1.0,708.14,1300.48,0.997,503.09,1306.93,0.996,762.04,1606.82,0.993,523.21,1623.59,0.995,745.14,1639.38,0.804,549.25,1649.95,0.905,818.97,1768.04,0.984,495.11,1777.72,0.99,frontal,561.5984460598017,427.1864784622396,False,583.2615304258757,843.522369004895,652.1171042709007
