frame,time_ms,nose_x,nose_y,nose_conf,l_shoulder_x,l_shoulder_y,l_shoulder_conf,r_shoulder_x,r_shoulder_y,r_shoulder_conf,l_elbow_x,l_elbow_y,l_elbow_conf,r_elbow_x,r_elbow_y,r_elbow_conf,l_wrist_x,l_wrist_y,l_wrist_conf,r_wrist_x,r_wrist_y,r_wrist_conf,l_hip_x,l_hip_y,l_hip_conf,r_hip_x,r_hip_y,r_hip_conf,l_knee_x,l_knee_y,l_knee_conf,r_knee_x,r_knee_y,r_knee_conf,l_ankle_x,l_ankle_y,l_ankle_conf,r_ankle_x,r_ankle_y,r_ankle_conf,l_heel_x,l_heel_y,l_heel_conf,r_heel_x,r_heel_y,r_heel_conf,l_foot_index_x,l_foot_index_y,l_foot_index_conf,r_foot_index_x,r_foot_index_y,r_foot_index_conf,view_type,c7_x,c7_y,has_barbell,com_x,com_y,mid_foot_x
25,833,376.35,292.29,1.0,491.13,415.5,1.0,538.98,439.48,1.0,550.77,643.94,0.995,630.58,649.22,0.068,527.1,894.71,0.971,597.01,850.57,0.066,581.54,888.82,0.999,613.98,889.24,0.998,570.04,1260.84,0.983,614.26,1233.12,0.359,608.82,1647.12,0.966,646.91,1561.86,0.605,643.92,1705.42,0.972,683.93,1604.43,0.703,457.13,1720.35,0.957,525.49,1632.2,0.732,lateral,491.13241255955694,415.5009966661454,False,534.3623455563219,655.6663850196443,577.616461923149
26,866,373.72,293.6,1.0,492.22,417.92,1.0,531.79,435.64,0.999,535.83,654.95,0.994,593.27,669.42,0.049,489.24,901.24,0.974,531.63,877.81,0.058,592.23,877.55,0.999,623.49,879.3,0.998,572.07,1248.44,0.953,610.24,1226.01,0.295,608.59,1644.79,0.962,646.91,1560.86,0.519,643.21,1702.75,0.944,683.93,1604.6,0.581,456.79,1718.11,0.955,525.57,1630.64,0.671,lateral,492.21962808040837,417.9218063395409,False,538.4206368802257,656.3867989355633,577.3770222452819
27,900,370.8,295.56,1.0,486.69,423.18,1.0,525.58,436.45,0.999,536.06,663.89,0.995,576.04,679.48,0.041,452.3,890.59,0.981,503.25,886.7,0.051,603.79,878.88,0.999,632.57,879.5,0.997,578.81,1242.95,0.953,611.68,1222.37,0.237,608.47,1642.8,0.955,646.91,1560.47,0.451,642.93,1700.3,0.933,683.83,1604.51,0.547,456.07,1715.86,0.941,525.36,1628.38,0.604,lateral,486.68654309483566,423.18044934697105,False,540.6482925125229,658.4651074042824,577.046082948817
28,933,367.32,300.31,1.0,478.75,428.19,1.0,524.24,448.56,0.999,528.64,655.07,0.998,576.66,682.88,0.049,406.38,887.54,0.995,486.87,871.35,0.086,622.51,879.31,1.0,646.12,879.09,0.998,580.71,1241.62,0.979,609.38,1216.5,0.32,608.47,1640.95,0.981,646.83,1558.19,0.535,642.93,1697.86,0.963,683.8,1603.79,0.577,455.22,1713.12,0.974,525.21,1625.0,0.7,lateral,478.7458890380452,428.19113393821726,False,543.9123416714879,660.1374052553091,576.7889590247607
29,966,365.05,311.52,1.0,475.48,440.35,1.0,522.12,466.57,1.0,515.98,662.96,0.998,557.63,708.15,0.122,350.58,868.46,0.997,423.88,888.15,0.208,639.7,883.54,1.0,666.67,883.29,0.999,580.57,1238.54,0.989,607.72,1214.44,0.371,608.22,1639.62,0.988,646.41,1556.66,0.594,642.79,1696.4,0.982,683.13,1602.81,0.673,454.28,1708.5,0.981,522.85,1619.4,0.732,lateral,475.4815602253506,440.35024185000987,False,548.713681656708,666.8788231253403,575.7638103079603
30,1000,363.5,330.58,1.0,470.89,455.62,1.0,525.5,485.43,1.0,508.5,672.25,0.998,559.71,729.99,0.138,336.51,841.09,0.996,407.85,879.83,0.242,650.65,891.36,1.0,685.34,887.1,0.999,577.51,1239.59,0.987,603.93,1215.79,0.301,608.33,1638.02,0.987,646.5,1550.97,0.499,643.0,1694.2,0.98,683.17,1600.53,0.618,454.02,1705.77,0.979,522.74,1613.99,0.668,lateral,470.8859863673559,455.61953132903943,False,550.8366389164353,675.3668258614408,575.7321134503027
31,1033,361.28,355.18,1.0,470.17,478.12,1.0,526.97,504.8,1.0,492.09,698.44,0.995,543.4,751.23,0.182,311.31,825.92,0.993,386.1,875.95,0.296,665.64,917.03,1.0,702.78,908.61,0.999,561.52,1244.6,0.993,596.05,1220.49,0.394,608.33,1636.57,0.993,646.44,1549.35,0.609,643.06,1692.39,0.988,682.83,1599.11,0.691,454.02,1703.11,0.987,522.48,1611.63,0.738,lateral,470.17177029436306,478.1174669490888,False,557.2980452055233,691.2511621897028,575.5952356230431
32,1066,358.71,386.28,1.0,468.49,507.09,1.0,530.07,534.89,0.999,475.34,724.06,0.992,536.72,757.87,0.145,293.41,827.07,0.987,375.18,866.86,0.25,678.08,935.27,1.0,716.38,921.82,0.999,540.61,1244.82,0.99,594.57,1227.17,0.401,608.17,1634.56,0.987,646.46,1547.37,0.543,643.0,1690.26,0.98,682.83,1595.33,0.646,454.13,1700.17,0.976,522.64,1610.05,0.652,lateral,468.48675072016835,507.092553795669,False,561.7501025384968,712.1834649255757,575.6499916337183
33,1100,356.15,417.16,1.0,462.21,541.09,1.0,527.95,549.29,0.999,458.32,776.62,0.958,516.71,781.1,0.145,252.2,825.26,0.892,360.79,832.77,0.214,693.25,950.92,1.0,730.99,930.87,1.0,508.84,1245.73,0.995,575.83,1224.08,0.397,608.09,1632.37,0.995,646.24,1544.28,0.661,643.0,1687.55,0.992,682.66,1590.79,0.692,453.75,1698.8,0.992,522.91,1607.76,0.776,lateral,462.2087148017655,541.0917954023216,False,562.827966031236,741.5657951495294,575.5803948305733
34,1133,352.47,454.63,1.0,458.8,573.43,1.0,527.62,580.06,1.0,447.79,808.83,0.97,489.29,822.84,0.31,250.74,802.6,0.942,327.47,824.59,0.428,716.72,966.32,1.0,747.91,945.93,1.0,510.94,1250.87,0.995,563.02,1224.55,0.447,608.12,1630.83,0.995,645.65,1541.24,0.653,643.03,1686.32,0.992,682.13,1585.99,0.715,453.95,1697.75,0.992,522.97,1608.08,0.777,lateral,458.801856475767,573.4266556982253,False,571.4904639793286,764.8622361515191,575.5214777004323
35,1166,349.98,491.48,1.0,453.56,615.1,1.0,527.33,620.51,1.0,405.24,839.92,0.976,452.88,845.09,0.484,236.86,795.6,0.948,286.92,819.6,0.596,732.68,984.95,1.0,756.19,961.95,1.0,510.58,1255.01,0.994,552.4,1228.02,0.428,608.17,1629.68,0.993,644.14,1540.68,0.581,643.22,1684.29,0.991,680.84,1583.99,0.712,454.05,1695.44,0.991,522.93,1608.74,0.739,lateral,453.55880781439345,615.0959897229809,False,575.2064644138809,793.2059767936935,575.2604943161828
36,1200,349.0,531.05,1.0,461.25,650.75,1.0,528.09,656.82,1.0,381.6,871.49,0.977,437.01,871.63,0.35,236.89,797.61,0.959,299.02,826.8,0.417,749.95,1001.46,1.0,759.98,981.65,1.0,513.25,1255.61,0.993,545.2,1228.79,0.371,608.17,1628.39,0.994,642.34,1539.79,0.559,643.47,1681.28,0.992,679.95,1581.32,0.692,454.15,1693.02,0.992,522.92,1608.85,0.739,lateral,461.25210599246043,650.7478160649707,False,586.9205495048614,818.2805342922579,575.1206195208931
37,1233,348.88,569.65,1.0,463.89,683.95,1.0,529.33,691.91,1.0,361.69,897.91,0.975,424.91,893.27,0.315,233.85,805.09,0.963,302.75,829.93,0.398,755.79,1017.78,1.0,768.18,1003.91,1.0,512.24,1260.08,0.992,546.5,1234.22,0.343,608.17,1627.25,0.994,641.84,1538.18,0.572,643.97,1679.79,0.992,680.44,1577.0,0.696,454.32,1690.53,0.992,522.77,1606.08,0.757,lateral,463.88668669745175,683.9478323436568,False,592.112073624838,841.1113328302465,575.3742044806067
38,1266,349.04,607.68,1.0,467.23,714.58,1.0,528.29,726.15,1.0,342.5,926.45,0.979,416.08,916.25,0.356,234.85,812.39,0.974,294.55,832.02,0.391,765.05,1038.69,1.0,767.88,1022.92,1.0,513.72,1266.86,0.993,545.55,1233.28,0.371,608.25,1626.22,0.994,640.97,1534.45,0.63,645.15,1678.27,0.993,679.85,1570.87,0.708,454.38,1688.65,0.993,522.77,1599.96,0.792,lateral,467.2283182550068,714.5786677329374,False,599.9702159582326,864.7191278069299,575.5370152859302
39,1300,349.56,647.2,1.0,466.76,753.35,1.0,530.48,748.83,1.0,331.9,956.66,0.984,415.37,936.43,0.387,243.93,829.47,0.973,309.42,835.06,0.338,775.98,1058.49,1.0,765.63,1037.57,1.0,512.85,1270.19,0.992,526.56,1229.18,0.387,608.42,1624.85,0.995,640.45,1528.28,0.599,646.75,1676.38,0.993,679.55,1561.74,0.688,454.56,1687.16,0.994,522.79,1591.94,0.773,lateral,466.7612540726943,753.3467605543681,False,605.9454975594164,893.7473095223138,575.9130994019879
40,1333,350.13,681.14,1.0,466.37,790.0,1.0,530.32,775.92,0.999,323.32,982.11,0.984,411.51,958.82,0.403,249.74,850.94,0.973,315.24,855.66,0.278,782.73,1082.62,1.0,768.73,1058.74,1.0,511.53,1270.49,0.992,524.05,1221.22,0.416,608.46,1622.11,0.995,640.1,1520.47,0.623,648.02,1673.76,0.994,679.41,1550.79,0.714,454.86,1683.07,0.993,522.81,1581.81,0.78,lateral,466.3668792525932,790.0009424930188,False,612.2036775695444,922.4174669461677,576.2760313669208
41,1366,350.91,711.74,1.0,468.0,814.78,1.0,531.83,799.03,0.999,322.77,1012.66,0.985,417.47,951.25,0.353,247.96,867.64,0.981,318.08,865.48,0.208,785.99,1099.44,1.0,768.23,1073.07,1.0,509.23,1268.42,0.993,517.26,1208.78,0.423,608.7,1620.28,0.994,639.3,1508.71,0.581,650.39,1672.2,0.992,678.86,1543.91,0.673,455.86,1677.7,0.992,522.79,1574.39,0.757,lateral,467.99823113517937,814.7846055989694,False,617.0659884690906,943.2142817277556,576.973769794121
42,1400,351.25,740.98,1.0,461.89,847.31,1.0,534.46,819.3,0.999,325.41,1042.43,0.98,418.76,966.15,0.273,259.7,892.17,0.959,322.37,888.39,0.142,789.26,1126.07,1.0,781.74,1095.76,1.0,508.15,1268.48,0.991,526.37,1213.85,0.426,608.92,1618.19,0.993,640.0,1505.04,0.64,651.53,1669.9,0.993,679.2,1539.06,0.716,457.54,1676.73,0.991,527.62,1569.94,0.769,lateral,461.88562517000287,847.3114740370124,False,620.3234657205118,972.099194565879,578.9733373544925
43,1433,351.43,773.01,1.0,458.63,879.09,1.0,533.35,852.15,0.999,327.65,1070.12,0.976,416.97,994.69,0.204,268.35,916.14,0.952,324.21,911.18,0.116,793.56,1152.21,1.0,790.26,1118.77,1.0,509.39,1267.06,0.993,530.8,1212.17,0.432,609.24,1617.01,0.994,640.0,1500.97,0.675,652.83,1668.46,0.993,679.22,1533.13,0.731,459.69,1675.49,0.992,527.62,1565.7,0.803,lateral,458.634837019737,879.0906629941439,False,625.2584936574474,1001.2133645026278,579.8433932191463
44,1466,351.67,797.5,1.0,461.32,900.42,1.0,532.87,861.36,1.0,327.12,1097.49,0.98,412.55,1019.23,0.275,272.85,933.69,0.958,324.88,935.41,0.117,792.77,1167.05,1.0,784.98,1129.95,1.0,506.25,1266.27,0.996,521.48,1204.17,0.334,609.83,1613.9,0.995,638.7,1496.84,0.535,655.1,1665.69,0.993,678.98,1527.82,0.622,462.86,1673.8,0.992,527.33,1560.92,0.694,lateral,461.3158071849859,900.4168245521792,False,628.2815574814954,1020.7027104540814,581.0685419163168
