frame,time_ms,nose_x,nose_y,nose_conf,l_shoulder_x,l_shoulder_y,l_shoulder_conf,r_shoulder_x,r_shoulder_y,r_shoulder_conf,l_elbow_x,l_elbow_y,l_elbow_conf,r_elbow_x,r_elbow_y,r_elbow_conf,l_wrist_x,l_wrist_y,l_wrist_conf,r_wrist_x,r_wrist_y,r_wrist_conf,l_hip_x,l_hip_y,l_hip_conf,r_hip_x,r_hip_y,r_hip_conf,l_knee_x,l_knee_y,l_knee_conf,r_knee_x,r_knee_y,r_knee_conf,l_ankle_x,l_ankle_y,l_ankle_conf,r_ankle_x,r_ankle_y,r_ankle_conf,l_heel_x,l_heel_y,l_heel_conf,r_heel_x,r_heel_y,r_heel_conf,l_foot_index_x,l_foot_index_y,l_foot_index_conf,r_foot_index_x,r_foot_index_y,r_foot_index_conf,view_type,c7_x,c7_y,has_barbell,com_x,com_y,mid_foot_x
24,800,685.9,224.48,1.0,548.38,364.67,1.0,843.41,351.97,1.0,447.82,571.16,0.988,895.6,575.45,0.992,385.62,801.32,0.954,926.97,821.03,0.916,602.92,903.63,0.999,778.94,904.18,1.0,574.29,1267.29,0.98,800.33,1290.44,0.991,523.38,1656.43,0.977,843.36,1674.68,0.985,521.79,1716.16,0.983,833.25,1752.76,0.988,519.43,1656.16,0.86,883.34,1690.51,0.863,posterior,695.8910928423495,358.3206009999009,False,690.3359632280963,802.6088633365544,689.4531550374254
25,833,685.4,225.61,1.0,549.74,363.07,1.0,843.52,350.23,1.0,446.15,574.32,0.989,898.73,576.12,0.989,383.9,804.19,0.945,927.47,818.36,0.886,601.02,901.38,0.999,777.97,902.14,0.999,574.26,1266.05,0.989,798.91,1289.98,0.987,522.23,1656.15,0.983,841.5,1674.22,0.977,521.27,1716.05,0.987,832.08,1752.76,0.982,514.71,1655.54,0.856,881.37,1690.48,0.799,posterior,696.6282260767772,356.64737264422985,False,689.8881614117174,801.2020773503781,687.3594333942638
26,866,687.01,226.51,1.0,550.51,364.87,1.0,843.71,351.08,1.0,445.38,578.36,0.979,901.59,581.48,0.986,385.52,810.44,0.911,931.4,825.24,0.898,602.26,900.6,0.999,777.62,901.12,0.999,574.42,1266.48,0.989,800.72,1291.62,0.984,521.25,1656.01,0.982,841.5,1673.6,0.973,520.57,1715.86,0.986,832.08,1751.82,0.976,512.58,1655.54,0.861,876.34,1690.61,0.789,posterior,697.1077947984612,357.97349337797203,False,690.4141128262479,801.7652441587314,685.3912665561675
27,900,685.75,229.49,1.0,551.49,366.31,1.0,843.87,352.17,1.0,443.81,582.68,0.975,903.39,586.0,0.99,387.28,818.92,0.902,935.09,832.13,0.878,602.36,900.93,0.999,775.86,901.91,0.999,573.53,1268.09,0.989,800.81,1292.67,0.991,519.98,1655.74,0.983,841.14,1672.92,0.979,519.69,1715.53,0.987,831.69,1751.23,0.983,510.66,1655.61,0.834,874.76,1690.62,0.796,posterior,697.681655025167,359.2398479928306,False,690.1926788712395,802.8762762502704,684.200286387827
28,933,685.34,233.21,1.0,553.03,368.73,1.0,844.02,353.83,1.0,444.55,585.8,0.971,905.55,587.01,0.994,392.21,831.04,0.87,939.82,834.58,0.897,602.59,900.15,0.999,773.99,901.89,0.999,572.14,1268.8,0.982,800.21,1293.75,0.99,518.53,1655.41,0.971,840.18,1672.92,0.977,517.96,1715.44,0.979,830.29,1751.41,0.981,510.13,1655.61,0.773,873.85,1690.48,0.802,posterior,698.5231409948528,361.27822499276823,False,690.0335873450143,803.6878132048367,683.0569640985499
29,966,687.53,237.36,1.0,554.03,373.83,1.0,845.72,358.84,1.0,445.11,593.92,0.985,909.37,594.88,0.992,398.23,841.13,0.845,943.22,843.1,0.852,602.38,901.22,0.999,772.71,902.82,0.999,570.66,1269.93,0.99,801.41,1295.44,0.992,517.6,1654.66,0.983,839.16,1672.92,0.981,517.24,1714.8,0.986,829.36,1750.98,0.983,509.33,1655.16,0.826,873.0,1690.3,0.808,posterior,699.8720663840943,366.33502484339294,False,690.2756409891883,806.5033351405742,682.2346330703361
30,1000,692.86,243.88,1.0,553.28,385.74,1.0,848.56,368.69,1.0,444.66,607.34,0.983,913.79,605.0,0.994,409.15,856.48,0.833,944.97,854.96,0.887,602.52,903.85,1.0,772.6,904.67,1.0,566.38,1270.63,0.991,804.15,1299.47,0.992,516.89,1654.2,0.988,838.2,1673.12,0.985,516.37,1714.23,0.989,827.95,1751.1,0.983,508.8,1655.16,0.883,872.36,1689.91,0.852,posterior,700.9206944477401,377.2124460155883,False,690.5930024190924,812.178717444719,681.3684136172478
31,1033,697.57,259.35,1.0,552.61,404.2,1.0,850.74,385.89,1.0,443.4,627.96,0.986,917.67,623.58,0.996,427.53,874.92,0.766,944.69,872.73,0.871,600.02,908.4,1.0,770.29,909.68,1.0,561.73,1270.75,0.989,806.41,1303.26,0.99,515.98,1653.63,0.982,837.36,1673.19,0.979,515.86,1713.44,0.984,826.37,1751.1,0.98,507.19,1655.16,0.831,872.92,1689.57,0.809,posterior,701.6736632934212,395.04681632846047,False,689.7898399126675,821.6076960455661,680.5842883548605
32,1066,699.21,273.02,1.0,551.41,423.97,1.0,852.6,407.94,1.0,441.72,651.63,0.974,921.59,648.78,0.99,450.07,889.06,0.748,941.92,896.02,0.854,597.63,921.27,1.0,768.26,923.77,1.0,558.72,1270.72,0.994,808.79,1309.0,0.994,515.22,1652.93,0.988,836.97,1672.88,0.983,515.86,1712.47,0.989,826.37,1750.43,0.984,506.08,1654.59,0.878,872.2,1688.85,0.841,posterior,702.0080627620218,415.95119664573923,False,689.0605703740215,835.7837423994513,680.1283958110351
33,1100,699.65,300.32,1.0,549.17,451.09,1.0,854.12,429.28,1.0,440.94,684.27,0.979,923.87,665.57,0.995,478.34,896.84,0.59,940.98,904.1,0.791,597.45,942.58,0.999,769.57,943.64,0.999,551.78,1273.68,0.989,812.13,1317.76,0.992,514.35,1652.25,0.977,836.69,1672.88,0.975,515.51,1711.61,0.982,825.92,1750.67,0.98,503.95,1653.81,0.782,872.02,1687.77,0.769,posterior,701.6478662825159,440.1839238140844,False,688.8762213452845,854.2674147287247,679.351772603321
